"symbol","exchange","shortname"
"ASAZF","PNK","ASSA ABLOY"
"SNVP","OEM",NULL
"INDO","ASE",NULL
"VTWG","NGM",NULL
"AAVXF","PNK","Abivax SA"
"SSAAY","PNK","SSab Swedish Steel AB"
"ABEQ","PCX","Absolute Select Value ETF"
"ABTZY","PNK","ABOITIZ EQUITY VENTURE INC UNSP"
"SCTBF","PNK","SECURITAS AB"
"XDQQ","BTS","Innovator Growth Accelerated ET"
"SLFPY","PNK","ABRDN PLC"
"HSQVY","PNK","Husqvarna AB"
"SRVTF","OEM","STAR VAULT AB"
"TLSNY","PNK","Telia Company AB"
"BOVNF","PNK","BIOINVENT INTERNATIONAL AB"
"ABVN","PNK","ABV CONSULTING INC"
"SWDBF","PNK","SWEDBANK AB"
"NBNKF","OQX","Nordea Bank Abp"
"PAB","PCX","PGIM Active Aggregate Bond ETF"
"THLPF","PNK","THULE GROUP AB"
"DUK-PA","NYQ",NULL
"NETL","PCX",NULL
"MPXOF","OEM",NULL
"HYS","PCX",NULL
"ARCNF","OEM","ARCARIO AB"
"ALFVF","PNK","ALFA LAVAL AB"
"GENTF","PNK","G5 ENTERTAINMENT AB"
"AKBLF","PNK","ALK-ABELLO A/S"
"GIGB","PCX","Goldman Sachs Access Investment"
"PNCKF","PNK",NULL
"RHCO","PNK",NULL
"THUPY","PNK","Thule Group AB"
"SVCBF","PNK","Svenska Cellulosa AB"
"CLOEF","PNK","CLOETTA AB"
"CWQXF","PNK","CASTELLUM AB"
"SVNLF","PNK","Svenska Handelsbanken AB PUBL"
"MGC","PCX",NULL
"BSKZF","OEM","BAMBUSER AB"
"KNEVF","PNK","Kinnevik AB"
"TLTZY","PNK","Tele2 AB"
"BIOVF","PNK","SWEDISH ORPHAN BIOVITRUM AB"
"ACCYY","PNK","Accor SA Ltd."
"IYF","PCX",NULL
"ACAD","NMS","ACADIA Pharmaceuticals Inc."
"ASO","NMS","Academy Sports and Outdoors, In"
"ACN","NYQ","Accenture plc"
"ACI","NYQ","Albertsons Companies, Inc."
"HCA","NYQ","HCA Healthcare, Inc."
"ACM","NYQ","AECOM"
"ACP","NYQ","Aberdeen Income Credit Strategi"
"ACVA","NMS","ACV Auctions Inc."
"ACTG","NMS","Acacia Research Corporation"
"ACR","NYQ","ACRES Commercial Realty Corp."
"IGM","PCX",NULL
"ACHC","NMS","Acadia Healthcare Company, Inc."
"ACAN","PNK","Americann Inc."
"AKR","NYQ","Acadia Realty Trust"
"ACU","ASE","Acme"
"SCC","PCX","ProShares UltraShort Consumer D"
"SPIP","PCX",NULL
"ACV","NYQ","568516"
