"symbol","exchange","shortname"
"BBUS","BTS","JPMorgan BetaBuilders U.S. Equi"
"GEBHY","PNK","Genting Berhad"
"BEVVF","PNK","Bee Vectoring Technologies Inte"
"FHBC","OEM","FERNHILL BEVERAGE INC"
"DBE","PCX","Invesco DB Energy Fund"
"BEPTF","PNK","Beach Energy Ltd."
"PEXL","PCX",NULL
"GLU","NYQ","6968"
"TNABY","PNK","Tenaga Nasional Berhad"
"FTXG","NGM","First Trust Nasdaq Food & Bever"
"BBJP","BTS","JPMorgan BetaBuilders Japan ETF"
"BSPK","OQB","Bespoke Extracts, Inc."
"GULTU","PNK",NULL
"CEOA","OEM",NULL
"WHITF","PNK",NULL
"YZCHF","OQX",NULL
"CCARF","PNK",NULL
"GDL","NYQ","GDL Fund, The  of Beneficial In"
"BBDA","OEM","BEBIDA BEVERAGE CO"
"IFBC","PNK","Italian Food & Beverage Corp"
"BCCLF","PNK","Becle SAB De CV"
"GEBHF","PNK","GENTING BERHAD"
"PCOA","OEM",NULL
"TWIO","PCX",NULL
"BCEKF","OQX","Bear Creek Mining Corp."
"NBH","NYQ","36814"
"BNTRF","PNK","Benton Resources Inc."
"DOCKF","PNK","BEYOND MEDICAL TECHNOLOGIES INC"
"CGGGF","PNK",NULL
"CTCK","OEM",NULL
"FUSEF","OQB",NULL
"BKTPF","PNK",NULL
"FLJH","PCX",NULL
"RBGPF","PNK","Reckitt Benckiser Group Plc."
"EWK","PCX","iShares Inc iShares MSCI Belgiu"
"CHIF","PNK","China Food & Beverage Co."
"GBDV","PCX","Global Beta ETF Trust Global Be"
"BESIY","PNK","BE Semiconductor Industries N.V"
"HYDW","PCX","Xtrackers Low Beta High Yield B"
"EDDYF","PNK",NULL
"BSEP","BTS",NULL
"BBIN","BTS","JPMorgan BetaBuilders Internati"
"TAP-A","NYQ","Molson Coors Beverage Company"
"GBLO","PCX","Global Beta Low Beta ETF"
"HYUP","PCX","Xtrackers High Beta High Yield "
"HSEEF","PNK","HILL INC"
"OBOR","PCX","KraneShares MSCI One Belt One R"
"COCP","NCM",NULL
"COKE","NMS",NULL
"BJWTF","PNK","BEIJING ENTERPRISES WATER GP LT"
"MSTB","BTS","LHA Market State Tactical Beta "
"TBVPF","PNK","Thai Beverage Public Co., Ltd."
"GBGR","PCX","Global Beta Rising Stars ETF"
"HFBG","OEM","HALL OF FAME BEVERAGES INC"
"CCEP","NMS",NULL
"CHEOY","PNK",NULL
"COCM","OEM",NULL
"CORC","PNK",NULL
"BENZF","PNK","BENZ MINING CORP"
"KTBA","OEM","CORTS TRUST BELLSOUTH 7% PRF 1/"
"NBVG","OEM","NUTRIPURE BEVERAGES INC"
"BFDE","OEM","BEDFORD ENERGY INC"
"BNGLF","PNK","Bengal Energy Ltd."
"WRB-PG","NYQ","W.R. Berkley Corporation 4.25% "
"USML","PCX",NULL
"BBMC","PCX","JPMorgan BetaBuilders U.S. Mid "
"BVERS","PNK","Beaver Coal Co., Ltd."
"DFVS","BTS","iPath US Treasury 5 Year Bear E"
"VETS","NMS","Pacer Military Times Best Emplo"
"CRHKY","PNK","China Resources Beer Holdings C"
"BKHY","PCX","BNY Mellon High Yield ETF"
"KJAN","BTS",NULL
"BETW","OEM","BETTWORK INDUSTRIES INC"
"SVBRF","PNK","SILVER BEAR RESOURCES PLC"
"BLGVF","PNK","BELGRAVIA HARTFORD CAPITAL INC"
"HZOZF","OEM","BETAPRO CRUDE OIL LEV DLY BULL "
"BBSC","PCX","JPMorgan BetaBuilders U.S. Smal"
"SIXL","PCX","ETC 6 Meridian Low Beta Equity "
"CODX","NCM",NULL
"BMTLF","OQB","BeMetals Corp."
"BGFGF","PNK","BEAUCE GOLD FIELDS INC"
"HZBRF","PNK","BETAPRO S&P/TSX CPD EGY 2X DL B"
"BCND","OEM","BEACON REDEVELOPMENT IND CORP"
"BCHEY","PNK","BEACH ENERGY LTD UNSP ADR EACH "
"WRB-PH","NYQ","W.R. Berkley Corporation 4.125%"
"CODI","NYQ",NULL
"WRB-PF","NYQ","W.R. Berkley Corporation 5.10% "
"VLBI","OEM","VALENTINE BEAUTY INC"
"BBSA","BTS","JPMorgan BetaBuilders 1-5 Year "
"PPBV","OEM","PURPLE BEVERAGE CO INC"
"BESVF","PNK","BE Semiconductor Industries N.V"
"BEWFF","OQB","BeWhere Holdings Inc."
"CDXS","NMS",NULL
"CDRBQ","OEM",NULL
"LKNCY","PNK",NULL
"BCUFF","OQB","Bell Copper Corp."
"UPBMF","PNK","UNITED PLANTATIONS BERHAD"
"WDKA","OEM","PANACHE BEVERAGE INC"
"WRB-PE","NYQ","W.R. Berkley Corporation 5.70% "
"USLB","NGM","Invesco Russell 1000 Low Beta E"
"PBEV","OEM","PREMIUM BEVERAGE G"
"BZIC","OEM","BEAMZ INTERACTIVE INC"
"BHHKF","OEM","CRAFTPORT CANNABIS CORP"
"BRCOQ","OEM","Beard Co. (The)"
"BKLRF","PNK","BERKELEY ENERGIA LIMITED"
"JVA","NCM",NULL
"HCEI","OEM",NULL
"SWSSF","PNK",NULL
"IQIN","PCX",NULL
"FMBV","PNK","FULL MOTION BEVERAGE INC"
"HBTPF","OEM","BETAPRO CRDE OIL INV LEV DLY BR"
"NBBTF","PNK","NATURAL BEAUTY BIO-TECHNOLOGY"
"HZNSF","PNK","BETAPRO CDN GLD MN2X DLY BL ETF"
"PBF","NYQ","PBF Energy Inc."
"CTSH","NMS",NULL
"CGNX","NMS",NULL
"EBF","NYQ","Ennis, Inc."
"TBF","PCX","ProShares Short 20+ Year Treasu"
"VBF","NYQ","Invesco Bond Fund"
"GBF","PCX","iShares Government/Credit Bond "
"BGSF","NYQ","BGSF, Inc."
"CGNT","NMS",NULL
"CGNSF","PNK",NULL
"CCOI","NMS",NULL
"MTUL","PCX",NULL
"BGMD","OEM","BG MEDICINE INC"
"UBG","PCX","E-TRACS USB Bloomberg Commodity"
"KBH","NYQ","KB Home"
"ZBH","NYQ","Zimmer Biomet Holdings, Inc."
"TGLVY","PNK","Top Glove Corp."
"COGZF","OQX",NULL
"COSG","PNK",NULL
"RQI","NYQ",NULL
"UTF","NYQ",NULL
"PBH","NYQ","Prestige Consumer Healthcare In"
"TPGVF","PNK","TOP GLOVE CORP BHD"
"BHPLF","PNK","BHP Group Limited"
"BHNGF","OEM","BHANG INC"
"BHPA","PNK","BHPA Inc."
"RNP","NYQ",NULL
"BNGO","NCM","Bionano Genomics, Inc."
"BIIB","NMS","Biogen Inc."
"BNTX","NMS","BioNTech SE"
"GBTC","PCX","Grayscale Bitcoin Trust (BTC)"
"BCRX","NMS","BioCryst Pharmaceuticals, Inc."
"RFI","NYQ",NULL
"LDP","NYQ",NULL
"COIN","NMS",NULL
"COWI","OEM",NULL
"PPBT","NCM","Purple Biotech Ltd."
"NWBO","OQB","Northwest Biotherapeutics, Inc."
"TTOO","NCM","T2 Biosystems, Inc."
"LABU","PCX","Direxion Daily S&P Biotech Bull"
"PLX","ASE","Protalix BioTherapeutics, Inc. "
"CINGF","OQB",NULL
"REMYY","PNK",NULL
"REMYF","PNK",NULL
"QULL","PCX",NULL
"BGFV","NMS","Big 5 Sporting Goods Corporatio"
"VIR","NMS","Vir Biotechnology, Inc."
"BLRX","NCM","BioLineRx Ltd."
"EVFM","OQB","Evofem Biosciences, Inc."
"CNSRF","OQX",NULL
"PCOK","PNK",NULL
"HCANF","OEM",NULL
"SSPY","PCX",NULL
"BILI","NMS","Bilibili Inc."
"IOVA","NGM","Iovance Biotherapeutics, Inc."
"XBI","PCX","SPDR Series Trust  SPDR S&P Bio"
"BIGC","NGM","BigCommerce Holdings, Inc. - Se"
"ONCY","NCM","Oncolytics Biotech Inc."
"FCGD","PNK",NULL
"STK","NYQ",NULL
"EPOR","OEM",NULL
"LANC","NMS",NULL
"IJAN","PCX",NULL
"SKYE","NGM","Skye Bioscience, Inc."
"PDSB","NCM","PDS Biotechnology Corporation"
"CLRB","NCM","Cellectar Biosciences, Inc."
"RDHL","NCM","Redhill Biopharma Ltd."
"EBS","NYQ","Emergent BioSolutions Inc."
"CMCO","NMS",NULL
"BTBT","NCM","Bit Digital, Inc."
"BLUE","NMS","bluebird bio, Inc."
"CHRS","NGM","Coherus BioSciences, Inc."
"NRGU","PCX","Bank Of Montreal MicroSectors U"
"IGMS","NMS","IGM Biosciences, Inc."
"REVS","PCX",NULL
"CIGI","NMS",NULL
"INCO","PCX",NULL
"ICOL","PCX",NULL
"GTBP","NCM","GT Biopharma, Inc."
"TWST","NMS","Twist Bioscience Corporation"
"PBI","NYQ","Pitney Bowes Inc."
"DARE","NCM","Dare Bioscience, Inc."
"HBI","NYQ","Hanesbrands Inc."
"DIAL","PCX",NULL
"GXG","PCX",NULL
"ECON","PCX",NULL
"MUST","PCX",NULL
"EPORP","OEM",NULL
"DTIL","NCM","Precision BioSciences, Inc."
"MBIO","NCM","Mustang Bio, Inc."
"BITQ","PCX","Bitwise Crypto Industry Innovat"
"RGBP","PNK","Regen Biopharma, Inc."
"SBFM","NCM","Sunshine Biopharma Inc."
"MTNB","ASE","Matinas Biopharma Holdings, Inc"
"RECS","PCX",NULL
"BMRN","NMS","BioMarin Pharmaceutical Inc."
"SCPS","OEM","Scopus BioPharma Inc."
"ENVB","NCM","Enveric Biosciences, Inc."
"BILL","NYQ","BILL Holdings, Inc."
"FBIO","NCM","Fortress Biotech, Inc."
"COLFF","PNK",NULL
"ESGS","PCX",NULL
"PMCB","NCM","PharmaCyte  Biotech, Inc."
"TBIO","PNK","Telesis Bio, Inc."
"RGRX","OEM","REGENERX BIOPHARMACEUTICALS"
"MBRX","NCM","Moleculin Biotech, Inc."
"ENTX","NCM","Entera Bio Ltd."
"PSFF","BTS",NULL
"BLGO","OQX","BioLargo, Inc."
"PALI","NCM","Palisade Bio, Inc."
"CALA","OEM","Calithera Biosciences, Inc."
"MREO","NCM","Mereo BioPharma Group plc"
"BSHI","PNK","BOSS HLDGS INC"
"FFHG","BTS",NULL
"BIEL","PNK","BioElectronics Corp."
"SLDB","NMS","Solid Biosciences Inc."
"BITW","OQX","Bitwise 10 Crypto Index Fund"
"CLSD","NGM","Clearside Biomedical, Inc."
"BPTH","NCM","Bio-Path Holdings, Inc."
"CRUCF","PNK",NULL
"ESGN","PCX",NULL
"CLPBF","PNK",NULL
"CERX","OEM",NULL
"CUYTY","PNK",NULL
"PBYI","NMS","Puma Biotechnology Inc"
"BHVN","NYQ","Biohaven Ltd."
"UBX","NMS","Unity Biotechnology, Inc."
"DBI","NYQ","Designer Brands Inc."
"LLBO","OEM","Lifeline BioTechnologies, Inc."
"MRK","NYQ",NULL
"XBIO","NCM","Xenetic Biosciences, Inc."
"CANF","ASE","Can-Fite Biopharma Ltd Sponsore"
"EDSA","NCM","Edesa Biotech, Inc."
"PRTG","NCM","Portage Biotech Inc."
"SONN","NCM","Sonnet BioTherapeutics Holdings"
"RKT","NYQ",NULL
"VXRT","NCM",NULL
"DIS","NYQ",NULL
"BEHL","OEM","BIOCENTRIC ENERGY HOLDINGS INC"
"BSEG","PNK","Big Screen Entertainment Group,"
"LEXX","NCM","Lexaria Bioscience Corp."
"TIL","NCM","Instil Bio, Inc."
"DAWN","NMS","Day One Biopharmaceuticals, Inc"
"OGN","NYQ",NULL
"WFC","NYQ",NULL
"BKYI","NCM","BIO-key International, Inc."
"NBIX","NMS","Neurocrine Biosciences, Inc."
"BTCM","NYQ","BIT Mining Limited"
"ENZ","NYQ","Enzo Biochem, Inc."
"QCOM","NMS",NULL
"KODK","NYQ",NULL
"CRON","NGM",NULL
"JKS","NYQ",NULL
"HPE","NYQ",NULL
"FANG","NMS",NULL
"BSGM","NCM","BioSig Technologies, Inc."
"BRTX","NCM","BioRestorative Therapies, Inc."
"CLGN","NGM","CollPlant Biotechnologies Ltd."
"KBLB","OQB","Kraig Biocraft Laboratories, In"
"HNST","NMS",NULL
"TTC","NYQ",NULL
"CMCSA","NMS",NULL
"DXC","NYQ",NULL
"LIXT","NCM","Lixte Biotechnology Holdings, I"
"BMRA","NCM","Biomerica, Inc."
"NAVB","OEM","Navidea Biopharmaceuticals, Inc"
"IDXG","OQX","Interpace Biosciences, Inc."
"TRIB","NMS","Trinity Biotech plc"
"SJM","NYQ",NULL
"TJX","NYQ",NULL
"ZIVO","OQB","Zivo Bioscience, Inc."
"BIOX","NMS","Bioceres Crop Solutions Corp."
"TECH","NMS","Bio-Techne Corp"
"BCDA","NCM","BioCardia, Inc."
"CSTL","NGM","Castle Biosciences, Inc."
"LODE","ASE",NULL
"COMP","NYQ",NULL
"WNW","NCM",NULL
"EKSO","NCM","Ekso Bionics Holdings, Inc."
"TLIS","OEM","Talis Biomedical Corporation"
"PURE","PNK","PURE Bioscience"
"BOLT","NCM","Bolt Biotherapeutics, Inc."
"KLDO","OEM","KALEIDO BIOSCIENCES INC"
"SSSXF","PNK",NULL
"INMB","NCM","INmune Bio Inc."
"QBIO","OEM","Q BioMed Inc."
"CBTC","PNK","XTRA Bitcoin Inc."
"SNSE","NCM","Sensei Biotherapeutics, Inc."
"SANA","NMS","Sana Biotechnology, Inc."
"EVAX","NCM","Evaxion Biotech A/S"
"BLBD","NGM","Blue Bird Corporation"
"ISCNF","OEM","ISRACANN BIOSCIENCES INC"
"GOSS","NMS","Gossamer Bio, Inc."
"PLSE","NCM","Pulse Biosciences, Inc"
"BFCH","PNK","BitFrontier Capital Holdings, I"
"BTCY","OQB","Biotricity Inc."
"BVAXF","OQB","BioVaxys Technology Corp."
"PHBI","PNK","Pharmagreen Biotech Inc."
"NUUU","OEM","REJUVEL BIO-SCIENCES INC"
"NRGD","PCX","Bank Of Montreal MicroSectors  "
"JPUHF","OEM",NULL
"LEGN","NMS","Legend Biotech Corporation"
"KRON","NMS","Kronos Bio, Inc."
"GBIO","NMS","Generation Bio Co."
"CUE","NCM","Cue Biopharma, Inc."
"PCRX","NMS","Pacira BioSciences, Inc."
"CGEN","NCM",NULL
"HBIO","NGM","Harvard Bioscience, Inc."
"MBI","NYQ","MBIA Inc."
"FBRX","NCM","Forte Biosciences, Inc."
"VXLLF","PNK","VAXIL BIO LTD (CA)"
"BPZZF","PNK","Boston Pizza Royalties Income F"
"EVLO","OEM","Evelo Biosciences, Inc."
"VOR","NMS","Vor Biopharma Inc."
"NERD","NGM","Roundhill Video Games ETF"
"GNOM","NGM","Global X Genomics & Biotechnolo"
"BIIO","OEM","BIONOVATE TECHNOLOGIES CORP"
"SPTN","NMS",NULL
"TSCO","NMS",NULL
"LOVE","NGM",NULL
"IDYA","NMS","IDEAYA Biosciences, Inc."
"SPRB","NCM","Spruce Biosciences, Inc."
"NUVB","NYQ","Nuvation Bio Inc."
"PVCT","OQB","Provectus Biopharmaceuticals, I"
"BLFS","NCM","BioLife Solutions, Inc."
"SCOR","NMS",NULL
"WEN","NMS",NULL
"USEP","BTS",NULL
"BNVIF","OEM","BINOVI TECHNOLOGIES CORP"
"BIVI","NCM","BioVie Inc."
"BITCF","PNK","First Bitcoin Capital Corp."
"PHMB","OEM","PHARMACOM BIOVET INC"
"BSDGF","PNK","BOSIDENG INTERNATIONAL HLDGS"
"HBIS","OEM","HOME BISTRO INC"
"RBII","OEM","RISING BIOSCIENCES INC"
"TBPH","NGM","Theravance Biopharma, Inc."
"RGBPP","PNK","Regen Biopharma, Inc."
"TBI","NYQ","TrueBlue, Inc."
"TREX","NYQ",NULL
"MTDR","NYQ",NULL
"GOOD","NMS",NULL
"USAC","NYQ",NULL
"CABA","NMS","Cabaletta Bio, Inc."
"XTLB","NCM","XTL Biopharmaceuticals Ltd."
"COGT","NMS","Cogent Biosciences, Inc."
"BDSX","NGM","Biodesix, Inc."
"BTZI","PNK","Bots Inc."
"BBIXF","OEM","BONUS BIOGROUP LTD"
"BCYC","NMS","Bicycle Therapeutics plc"
"STRO","NGM","Sutro Biopharma, Inc."
"PLPL","PNK","Plandai Biotechnology, Inc."
"VOT","PCX","Vanguard Mid-Cap Growth ETF"
"RGR","NYQ",NULL
"SSLY","PCX",NULL
"HRMY","NGM","Harmony Biosciences Holdings, I"
"KRYS","NMS","Krystal Biotech, Inc."
"WXIBF","PNK","Wuxi Biologics Cayman Inc."
"CUBT","PNK","CURATIVE BIOTECHNOLOGY INC."
"XTRM","OEM","EXTREME BIODIESEL INC"
"VERB","NCM",NULL
"SID","NYQ",NULL
"MKC","NYQ",NULL
"LSST","PCX",NULL
"PHGE","ASE","BiomX Inc."
"TELA","NGM","TELA Bio, Inc."
"KRBP","OQB","Kiromic BioPharma, Inc."
"VBIZF","PNK","VIVA BIOTECH HOLDINGS"
"MBOT","NCM","Microbot Medical Inc."
"PPCB","PNK","Propanc Biopharma, Inc."
"NBIO","OEM","Nascent Biotech Inc."
"PBIO","OEM","Pressure BioSciences, Inc."
"ENTBF","OQB","ENTHEON BIOMEDICAL CORP."
"BNET","OQB","Bion Environmental Technologies"
"TPIC","NGM",NULL
"CHNA","NGM","Loncar China BioPharma ETF"
"WXXWY","PNK","Wuxi Biologics (Cayman) Inc"
"BMEA","NMS","Biomea Fusion, Inc."
"CENBF","OEM","CEN BIOTECH INC"
"FBIOP","NCM","Fortress Biotech, Inc. - 9.375%"
"TRV","NYQ",NULL
"DTE","NYQ",NULL
"IRDM","NMS",NULL
"NEGG","NCM",NULL
"INBP","OQX","INTEGRATED BIOPHARMA INC"
"CANSF","OQB","Willow Biosciences Inc."
"TNBI","PNK","Tanke Biosciences Corp."
"BICX","OQB","BioCorRx Inc."
"FYBR","NMS",NULL
"TCOM","NMS",NULL
"COMM","NMS",NULL
"RBBN","NMS",NULL
"ICBU","PNK",NULL
"BH-A","NYQ","Biglari Holdings Inc."
"SNNAQ","OEM","SIENNA BIOPHARMACEUTICALS INC"
"BFNH","PNK","BioForce Nanosciences Holdings,"
"BMNM","OQB","Bimini Capital Management, Inc."
"PRGO","NYQ",NULL
"GPC","NYQ",NULL
"COMS","OEM",NULL
"EOLS","NGM",NULL
"QUBT","NCM",NULL
"THCBF","OEM","THC BioMed  Intl Ltd."
"CNTB","NGM","Connect Biopharma Holdings Limi"
"BIREF","PNK","Birchcliff Energy Ltd."
"WDNA","BTS","WisdomTree BioRevolution Fund"
"BIEI","PNK","Premier Biomedical Inc"
"SQNS","NYQ",NULL
"HNRG","NCM",NULL
"STAA","NGM",NULL
"SSEEF","PNK",NULL
"BTGN","OEM","BITCOIN GENERATION INC"
"IBBJ","NGM","Defiance Nasdaq Junior Biotechn"
"BIOAF","OEM","BIOASIS TECHNOLOGIES INC"
"VNTA","PNK","Ventana Biotech, Inc."
"BIGG","OEM","BIG TREE GROUP INC"
"LEXXW","NCM","Lexaria Bioscience Corp."
"STRL","NMS",NULL
"ONEQ","NGM",NULL
"EVC","NYQ",NULL
"CASBF","PNK","CANSINO BIOLOGICS INC"
"BLFE","OEM","BIOLIFE SCIENCES INC"
"ETBI","OEM","Eastgate Biotech Corp."
"BICEY","PNK","BIC SA"
"BMSPF","PNK","Biomass Secure Power Inc."
"IPG","NYQ",NULL
"NYT","NYQ",NULL
"BSPM","OEM","Biostar Pharmaceuticals, Inc."
"BMCS","PNK","BioTech Medics, Inc."
"BGLC","NCM","BioNexus Gene Lab Corp"
"MGROF","OQB","MustGrow Biologics Corporation"
"CHB","NGM","Global X China Biotech Innovati"
"LOMA","NYQ",NULL
"NFG","NYQ",NULL
"MTW","NYQ",NULL
"PFGC","NYQ",NULL
"LOVFF","OQB","Cannara Biotech Inc."
"CDBT","PNK","China Dasheng Biotechnology Co."
"CLTH","OEM","CLEAN TECH BIOFUELS INC"
"WYPH","OEM","WayPoint Biomedical Holdings, I"
"BMXMF","PNK","Biomerieux 69 Marcy L'Etoile"
"SMCI","NMS",NULL
"OCCI","NGM",NULL
"CMTL","NMS",NULL
"GPK","NYQ",NULL
"GRBMF","OQX","Grupo Bimbo S.A.B. de C.V."
"ONBI","OEM","ONE BIO CORP"
"ERGO","OEM","Entia Biosciences Inc."
"SBMFF","PNK","SINO BIOPHARMACEUTICAL"
"BSEM","PNK","BioStem Technologies, Inc."
"HVT","NYQ",NULL
"GNNSF","PNK","GENSCRIPT BIOTECH CORPORATION"
"SBHMY","PNK","Sino Biopharmaceutical Ltd."
"BIOYF","PNK","BioSyent Inc."
"CBDX","OEM","CURATIVE BIOSCIENCES INC"
"VIRS","BTS","Pacer BioThreat Strategy ETF"
"TAIT","NCM",NULL
"PDCO","NMS",NULL
"HURC","NMS",NULL
"WDFC","NMS",NULL
"SUI","NYQ",NULL
"MBXBF","OQX","MICROBIX BIOSYSTEMS"
"PRHB","OEM","PURE H2O BIO TECHNOLOGIES INC"
"BIOIF","OEM","BIOME GROW INC"
"GSGTF","OEM","GENSIGHT BIOLOGICS SA"
"OXBDF","PNK","OXFORD BIOMEDICA"
"SEIC","NMS",NULL
"NWN","NYQ",NULL
"BDPT","PNK","Bioadaptives, Inc."
"LIXTW","NCM","Lixte Biotechnology Holdings, I"
"PRBCF","OEM","PRECISE BIOMETRICS"
"PBSV","OQB","Pharma-Bio Serv, Inc."
"BSYI","OEM","BIOSYNTECH INC"
"BOTH","PNK","Bioethics, Ltd."
"RVVQF","OEM","RAVENQUEST BIOMED INC"
"BIMO","OEM","BIONEUTRA INTERNATIONAL LTD"
"BIOQ","PNK","BIOQUAL, Inc."
"BCDAW","NCM","BioCardia, Inc."
"FIX","NYQ",NULL
"NDLS","NMS",NULL
"COMT","NGM",NULL
"BITTF","PNK","Bitterroot Resources Ltd."
"LBTD","OEM","LOTUS BIO TECHNOLOGY DEV CORP"
"IBXXF","PNK","IMAGION BIOSYSTEMS LIMITED"
"LXGTF","OEM","LEXINGTON BIOSCIENCES INC"
"FUL","NYQ",NULL
"CFRUY","PNK",NULL
"CVGI","NMS",NULL
"EDN","NYQ",NULL
"BMKDF","PNK","BIOMARK DIAGNOSTICS INC"
"BNKL","OEM","BIONIK LABORATORIES CORP"
"EGBB","OEM","EARTH GEN-BIOFUEL INC"
"BQST","PNK","BioQuest Corp."
"QTXB","OEM","QUANTRIX BIOMEDICAL CORPORATION"
"TKR","NYQ",NULL
"VLRS","NYQ",NULL
"SGSSF","PNK",NULL
"BICEF","PNK","BIC (SOCIETE BIC SA)"
"YBGJ","OQB","Yubo International Biotech Limi"
"BICK","NGM","First Trust BICK Index Fund"
"BIRDF","PNK","Bird Construction Inc."
"BSGC","OEM","BIGSTRING CORPORATION"
"SON","NYQ",NULL
"SPTM","PCX",NULL
"IGNE","OEM","IGENE BIOTECHNOLOGY INC"
"USBC","OEM","US BIOTEC INC"
"BBUCQ","OEM","BIG BUCK BREWERY & STEAKHOUSE I"
"XBIOW","NCM","Xenetic Biosciences, Inc."
"DRH","NYQ",NULL
"SGC","NGM",NULL
"MTRX","NMS",NULL
"SMPL","NCM",NULL
"ERIE","NMS",NULL
"BTGGF","OEM","BITCOIN GROUP SE"
"BIONQ","OEM","BIO NITROGEN HLDGS CORP"
"NXEN","PNK","Nexien BioPharma, Inc."
"SGBI","OEM","SANGUI BIOTECH INTERNATIONAL"
"NUVB-WT","NYQ","Nuvation Bio Inc."
"YORW","NMS",NULL
"SPSC","NMS",NULL
"TNC","NYQ",NULL
"MSEX","NMS",NULL
"VSBC","OEM","VITASPRING BIOMEDICAL CO LTD"
"BITRF","PNK","BIOTRON"
"SRBCF","PNK","Sirona Biochem Corp."
"BIQIF","OEM","BIQI INTERNATIONAL HOLDINGS COR"
"BDVSY","PNK","Bidvest Group Ltd."
"FCOM","PCX",NULL
"EBIZ","NGM",NULL
"GPLB","PNK","GREEN PLANET BIOENGINEERING CO "
"BYLOF","PNK","Big Yellow Group PLC"
"CSBF","PNK","CONSOLIDATED BIOFUELS INC"
"PBIGF","PNK","Paradigm Biopharmaceuticals Ltd"
"BOPO","OEM","BIOPOWER OPERATIONS CORP"
"SANW","NCM",NULL
"KNBIF","OQB","Kane Biotech Inc."
"MBGNF","OEM","MANY BRIGHT IDEAS TECHNOLOGIES "
"SRBT","PNK","Shanrong Biotechnology Corp."
"MRES","PNK","Institute of Biomedical Researc"
"TTBXF","PNK","TRITAX BIG BOX REIT PLC"
"MEC","NYQ",NULL
"FSTR","NMS",NULL
"SSDRF","PNK",NULL
"SFBE","OEM","SINO BIOENERGY CORP"
"BZRT","OEM","BizRocket.com, Inc."
"BLRDF","PNK","Billerud AB"
"BICTF","PNK","BIOCURE TECHNOLOGY INC"
"DWSN","NMS",NULL
"PARR","NYQ",NULL
"FTGC","NGM",NULL
"PIPR","NYQ",NULL
"COSM","NCM",NULL
"IHRMF","PNK",NULL
"BJRI","NMS","BJ's Restaurants, Inc."
"VBK","PCX","Vanguard Small-Cap Growth ETF"
"BKTI","ASE","BK Technologies Corporation"
"FBK","NYQ","FB Financial Corporation"
"IDCBY","PNK","Industrial and Commercial Bank "
"GRC","NYQ",NULL
"ONCI","PNK",NULL
"IDCBF","PNK","Industrial and Commercial Bank "
"TBBC","PNK","Triad Business Bank"
"OAKV","PNK","OAK VIEW BANKSHARES INC."
"CSHX","OQX","Cashmere Valley Bank"
"GHLD","NYQ",NULL
"PUK","NYQ",NULL
"ITIC","NMS",NULL
"NODB","PNK","North Dallas Bank & Trust Co. ("
"STBK","PNK","Studio Financial Holdings, Inc."
"GWBK","PNK","GATEWAY BK F S B OAKLAND CALIF"
"RIOT","NCM","Riot Platforms, Inc."
"VPLM","OQB",NULL
"USCI","PCX",NULL
"CRCW","PNK",NULL
"PLPC","NMS",NULL
"NWPX","NMS",NULL
"BLNK","NCM","Blink Charging Co."
"BXMT","NYQ","Blackstone Mortgage Trust, Inc."
"BLSP","OEM","Blue Sphere Corp."
"BDTX","NMS","Black Diamond Therapeutics, Inc"
"DMGGF","OQB","DMG Blockchain Solutions Inc."
"TCCO","OEM",NULL
"SGBX","NCM","Safe & Green Holdings Corp."
"BPMC","NMS","Blueprint Medicines Corporation"
"JJC","PCX","iPathA Series B Bloomberg Coppe"
"HYT","NYQ","Blackrock Corporate High Yield "
"BDGR","OEM","BLACK DRAGON RESOURCE COS INC"
"HTBK","NMS",NULL
"REGRF","OEM","New World Solutions Inc."
"FBCG","BTS","Fidelity Blue Chip Growth ETF"
"BKRRF","OQX","Blackrock Silver Corp."
"COW","PCX","iPathA Series B Bloomberg Lives"
"BMEZ","NYQ","BlackRock Health Sciences Trust"
"KNBWY","PNK",NULL
"WFC-PL","NYQ",NULL
"IXP","PCX",NULL
"VTGDF","OEM",NULL
"DSNKY","PNK",NULL
"BLKB","NMS","Blackbaud, Inc."
"SRLN","PCX","SPDR Blackstone Senior Loan ETF"
"BBRRF","OQB","Blueberries Medical Co."
"DJP","PCX","iPath Bloomberg Commodity Index"
"ICSH","BTS","iShares Ultra Short-Term Bond A"
"CII","NYQ","BlackRock Enhanced Large Cap Co"
"RKFL","OEM","ROCKETFUEL BLOCKCHAIN INC"
"FBCV","BTS","Fidelity Blue Chip Value ETF"
"NEAR","BTS","iShares Short Duration Bond Act"
"LCTU","PCX","BlackRock U.S. Carbon Transitio"
"JJN","PCX","iPathA Series B Bloomberg Nicke"
"BFTR","PCX","BlackRock Future Innovators ETF"
"CRD-A","NYQ",NULL
"CODYY","PNK",NULL
"BLDV","PNK","Blue Diamond Ventures, Inc."
"MQY","NYQ","Blackrock MuniYield Quality Fun"
"BLUU","OEM","BLUE WATER GLOBAL GROUP INC"
"BCII","PNK","BCII Enterprises Inc."
"GWLLF","PNK",NULL
"WFCF","NCM",NULL
"BUYZ","BTS",NULL
"DCSX","PNK",NULL
"TOITF","PNK",NULL
"BLAGF","OQB","Blue Lagoon Resources Inc."
"BLPG","PNK","Blue Line Protection Group, Inc"
"MUC","NYQ","Blackrock MuniHoldings Californ"
"FRA","NYQ","Blackrock Floating Rate Income "
"GRMC","OEM",NULL
"CRD-B","NYQ",NULL
